subject_id	cm3_split	n_volumes	fd_mean	fd_median	fd_p95	fd_gt05_frac	fd_gt10_frac	fd_gt20_frac	dvars_mean	dvars_gt50med_frac	std_dvars_mean	n_missing_core	n_nonfinite_core	qc_status	std_dvars_gt50med_frac
sub-020	test	400.0	0.3177	0.2892	0.568	0.1051	0.0077	0.0	60.43	0.0128	1.414	0.0	0.0	COMPUTED	
sub-021	train	400.0	0.2395	0.2247	0.4434	0.0256	0.0	0.0	56.3	0.0256	1.4266	0.0	0.0	COMPUTED	
sub-023	val	400.0	0.5639	0.5223	1.0241	0.5359	0.0667	0.0	83.11	0.0359	1.4458	0.0	0.0	COMPUTED	
sub-024	train	400.0	0.3437	0.3146	0.6509	0.1385	0.0103	0.0	56.65	0.0154	1.3064	0.0	0.0	COMPUTED	
sub-025	train	400.0	0.4343	0.4012	0.779	0.3359	0.0128	0.0	56.33	0.0641	1.2978	0.0	0.0	COMPUTED	
sub-026	train	400.0	0.3591	0.3348	0.6661	0.1872	0.0026	0.0	84.7	0.0513	1.4653	0.0	0.0	COMPUTED	
sub-027	val	400.0	0.3147	0.2949	0.622	0.1128	0.0	0.0	47.76	0.0282	1.2073	0.0	0.0	COMPUTED	
sub-029	train	400.0	0.5297	0.4842	1.0067	0.4744	0.0564	0.0	69.88	0.0154	1.3049	0.0	0.0	COMPUTED	
sub-031	train	400.0	0.2563	0.2451	0.4229	0.0205	0.0	0.0	62.85	0.0026	1.5288	0.0	0.0	COMPUTED	
sub-032	train	400.0	0.8562	0.7794	1.6714	0.8	0.3103	0.0128	85.39	0.041	1.301	0.0	0.0	COMPUTED	
sub-033	train	400.0	0.4494	0.3886	0.8546	0.3436	0.0308	0.0026	58.29	0.0308	1.3083	0.0	0.0	COMPUTED	
sub-034	val	400.0	0.7234	0.6421	1.4456	0.6821	0.1949	0.0	88.22	0.0308	1.3318	0.0	0.0	COMPUTED	
